user.id,image,emotion
dwdii,Jimmy_Gurule_0001.jpg,neutral
302,Carla_Myers_0001.jpg,happiness
dwdii,Jose_Viegas_Filho_0001.jpg,happiness
dwdii,Paul_Reiser_0001.jpg,happiness
dwdii,Romano_Prodi_0005.jpg,neutral
302,Donna_Shalala_0001.jpg,happiness
jhamski,Jayamadhuri_69.jpg,disgust
302,Ali_Abbas_0002.jpg,neutral
dwdii,Taoufik_Mathlouthi_0001.jpg,neutral
dwdii,Jean_Chretien_0049.jpg,neutral
dwdii,Ron_Dittemore_0004.jpg,neutral
dwdii,Serena_Williams_0037.jpg,happiness
302,Christine_Todd_Whitman_0001.jpg,neutral
dwdii,Jessica_Lange_0001.jpg,happiness
JN721,Kofi_Annan_0020.jpg,neutral
302,Art_Howe_0002.jpg,happiness
302,Fernando_Gonzalez_0005.jpg,surprise
302,Gloria_Macapagal_Arroyo_0027.jpg,happiness
302,George_W_Bush_0197.jpg,happiness
302,Dominique_de_Villepin_0012.jpg,happiness
dwdii,Victor_Garber_0001.jpg,happiness
302,Dick_Cheney_0002.jpg,happiness
dwdii,Sean_OKeefe_0001.jpg,happiness
dwdii,Jeff_Van_Gundy_0003.jpg,happiness
dwdii,Mehdi_Baala_0001.jpg,happiness
302,Edwin_Edwards_0003.jpg,neutral
302,David_Dorfman_0001.jpg,happiness
302,George_W_Bush_0511.jpg,surprise
302,Hedayat_Amin_Arsala_0001.jpg,neutral
dwdii,Jose_Luis_Santiago_Vasconcelos_0001.jpg,neutral
302,Arnold_Schwarzenegger_0008.jpg,neutral
dwdii,Mack_Brown_0001.jpg,happiness
JN721,Lindsay_Davenport_0022.jpg,surprise
dwdii,William_Bulger_0001.jpg,neutral
302,Alec_Baldwin_0003.jpg,neutral
302,Jack_Straw_0002.jpg,happiness
302,Anthony_Scott_Miller_0001.jpg,happiness
dwdii,Lynne_Slepian_0001.jpg,happiness
JN721,Lee_Soo-hyuck_0002.jpg,neutral
302,Andre_Agassi_0004.jpg,happiness
dwdii,Roh_Moo-hyun_0006.jpg,happiness
dwdii,Kamal_Kharrazi_0001.jpg,neutral
302,Alex_Sink_0002.jpg,happiness
dwdii,Lucio_Gutierrez_0002.jpg,neutral
dwdii,Nestor_Kirchner_0011.jpg,happiness
dwdii,Pete_Sampras_0016.jpg,neutral
302,Dennis_Hastert_0006.jpg,happiness
302,Charles_Kartman_0002.jpg,happiness
302,Hans_Blix_0026.jpg,neutral
dwdii,Julianne_Moore_0019.jpg,happiness
302,Adam_Sandler_0001.jpg,neutral
302,Christian_Longo_0003.jpg,neutral
302,Elizabeth_Dole_0004.jpg,happiness
